ensembl_gene_ID,kegg_ID
"ENSBTAG00000051622","path:bta04650"
"ENSBTAG00000051622","path:bta04668"
"ENSBTAG00000051622","path:bta05135"
"ENSBTAG00000051622","path:bta05142"
"ENSBTAG00000051622","path:bta05152"
"ENSBTAG00000051622","path:bta05160"
"ENSBTAG00000051622","path:bta05161"
"ENSBTAG00000051622","path:bta05162"
"ENSBTAG00000051622","path:bta05163"
"ENSBTAG00000051622","path:bta05164"
"ENSBTAG00000051622","path:bta05165"
"ENSBTAG00000051622","path:bta05167"
"ENSBTAG00000051622","path:bta05168"
"ENSBTAG00000051622","path:bta05169"
"ENSBTAG00000051622","path:bta05170"
"ENSBTAG00000048993","path:bta04060"
"ENSBTAG00000048993","path:bta04151"
"ENSBTAG00000048993","path:bta04217"
"ENSBTAG00000048993","path:bta04380"
"ENSBTAG00000048993","path:bta04620"
"ENSBTAG00000048993","path:bta04621"
"ENSBTAG00000048993","path:bta04622"
"ENSBTAG00000048993","path:bta04623"
"ENSBTAG00000048993","path:bta04630"
"ENSBTAG00000048993","path:bta04650"
"ENSBTAG00000048993","path:bta04668"
"ENSBTAG00000048993","path:bta05135"
"ENSBTAG00000048993","path:bta05142"
"ENSBTAG00000048993","path:bta05152"
"ENSBTAG00000048993","path:bta05160"
"ENSBTAG00000048993","path:bta05161"
"ENSBTAG00000048993","path:bta05162"
"ENSBTAG00000048993","path:bta05163"
"ENSBTAG00000048993","path:bta05164"
"ENSBTAG00000048993","path:bta05165"
"ENSBTAG00000048993","path:bta05167"
"ENSBTAG00000048993","path:bta05168"
"ENSBTAG00000048993","path:bta05169"
"ENSBTAG00000048993","path:bta05170"
"ENSBTAG00000021653","path:bta04120"
"ENSBTAG00000046967","path:bta04060"
"ENSBTAG00000046967","path:bta04151"
"ENSBTAG00000046967","path:bta04217"
"ENSBTAG00000046967","path:bta04620"
"ENSBTAG00000046967","path:bta04621"
"ENSBTAG00000046967","path:bta04622"
"ENSBTAG00000046967","path:bta04623"
"ENSBTAG00000046967","path:bta04630"
