ensembl_gene_ID,kegg_ID
"ENSBTAG00000016470","bta:513400"
"ENSBTAG00000050709","bta:112445004"
"ENSBTAG00000002798","bta:533842"
"ENSBTAG00000001387","bta:783802"
"ENSBTAG00000000396","bta:281402"
"ENSBTAG00000018771","bta:523187"
"ENSBTAG00000053062","bta:782910"
"ENSBTAG00000054172","bta:782366"
"ENSBTAG00000003126","bta:510447"
"ENSBTAG00000021286","bta:511558"
"ENSBTAG00000037890","bta:511890"
"ENSBTAG00000038523","bta:537960"
"ENSBTAG00000020797","bta:529805"
"ENSBTAG00000006797","bta:520348"
"ENSBTAG00000008084","bta:518291"
"ENSBTAG00000002097","bta:513865"
"ENSBTAG00000021150","bta:539064"
"ENSBTAG00000020626","bta:508357"
"ENSBTAG00000011250","bta:515757"
"ENSBTAG00000008987","bta:514773"
"ENSBTAG00000010155","bta:504773"
"ENSBTAG00000020795","bta:615178"
"ENSBTAG00000000730","bta:280802"
"ENSBTAG00000054780","bta:782978"
"ENSBTAG00000052822","bta:100296588"
"ENSBTAG00000002101","bta:539978"
"ENSBTAG00000039618","bta:616348"
"ENSBTAG00000046026","bta:510951"
"ENSBTAG00000030599","bta:508379"
"ENSBTAG00000013502","bta:538673"
"ENSBTAG00000002716","bta:516314"
"ENSBTAG00000000511","bta:541076"
"ENSBTAG00000001521","bta:616871"
"ENSBTAG00000013456","bta:100295666"
"ENSBTAG00000007306","bta:338100"
"ENSBTAG00000013124","bta:101903093"
"ENSBTAG00000018772","bta:509238"
"ENSBTAG00000026754","bta:614134"
"ENSBTAG00000003358","bta:616647"
"ENSBTAG00000006494","bta:282184"
"ENSBTAG00000002369","bta:617192"
"ENSBTAG00000006441","bta:282701"
"ENSBTAG00000043578","bta:494549"
"ENSBTAG00000002882","bta:540643"
"ENSBTAG00000000229","bta:784417"
"ENSBTAG00000005718","bta:280981"
"ENSBTAG00000048246","bta:281122"
"ENSBTAG00000011608","bta:508617"
"ENSBTAG00000003418","bta:540426"
"ENSBTAG00000054332","bta:782329"
"ENSBTAG00000007687","bta:407175"
"ENSBTAG00000000072","bta:516874"
"ENSBTAG00000052769","bta:783210"
"ENSBTAG00000048980","bta:508666"
"ENSBTAG00000014253","bta:615878"
"ENSBTAG00000010852","bta:107131749"
"ENSBTAG00000011239","bta:282078"
"ENSBTAG00000010738","bta:616723"
"ENSBTAG00000027080","bta:540307"
"ENSBTAG00000034283","bta:616079"
"ENSBTAG00000054314","bta:786706"
"ENSBTAG00000048437","bta:538744"
"ENSBTAG00000013148","bta:414922"
"ENSBTAG00000013481","bta:516085"
"ENSBTAG00000014697","bta:509060"
"ENSBTAG00000051862","bta:104970913"
"ENSBTAG00000020192","bta:505757"
"ENSBTAG00000000626","bta:100125774"
"ENSBTAG00000032558","bta:616640"
"ENSBTAG00000053578","bta:616732"
"ENSBTAG00000016867","bta:616934"
"ENSBTAG00000054361","bta:112441571"
"ENSBTAG00000034998","bta:100336733"
"ENSBTAG00000003960","bta:538197"
"ENSBTAG00000004587","bta:515310"
"ENSBTAG00000002210","bta:507924"
"ENSBTAG00000001616","bta:516451"
"ENSBTAG00000046014","bta:506876"
"ENSBTAG00000053649","bta:327712"
"ENSBTAG00000033180","bta:616050"
"ENSBTAG00000038178","bta:101905074"
"ENSBTAG00000032049","bta:664638"
"ENSBTAG00000016770","bta:784765"
"ENSBTAG00000017701","bta:618939"
"ENSBTAG00000049703","bta:782216"
"ENSBTAG00000052704","bta:531779"
"ENSBTAG00000019843","bta:538833"
"ENSBTAG00000012444","bta:407229"
"ENSBTAG00000007586","bta:525107"
"ENSBTAG00000016771","bta:539449"
"ENSBTAG00000021025","bta:511799"
"ENSBTAG00000017081","bta:515229"
"ENSBTAG00000043970","bta:614744"
"ENSBTAG00000037384","bta:782645"
"ENSBTAG00000014102","bta:512993"
"ENSBTAG00000006674","bta:514983"
"ENSBTAG00000035174","bta:529231"
"ENSBTAG00000032374","bta:615114"
"ENSBTAG00000033543","bta:618207"
"ENSBTAG00000049078","bta:782678"
"ENSBTAG00000046468","bta:780991"
"ENSBTAG00000000687","bta:525136"
"ENSBTAG00000002850","bta:616772"
"ENSBTAG00000001322","bta:539526"
"ENSBTAG00000049698","bta:100335365"
"ENSBTAG00000009607","bta:510504"
"ENSBTAG00000016161","bta:514446"
"ENSBTAG00000005973","bta:281962"
"ENSBTAG00000030595","bta:615979"
"ENSBTAG00000011180","bta:615133"
"ENSBTAG00000054924","bta:281711"
"ENSBTAG00000019581","bta:782597"
"ENSBTAG00000031686","bta:767945"
"ENSBTAG00000015253","bta:100126182"
"ENSBTAG00000002206","bta:524199"
"ENSBTAG00000002423","bta:538204"
"ENSBTAG00000008355","bta:282703"
"ENSBTAG00000015994","bta:100848618"
"ENSBTAG00000053728","bta:516263"
"ENSBTAG00000015952","bta:282176"
"ENSBTAG00000030470","bta:100848991"
"ENSBTAG00000012124","bta:613751"
"ENSBTAG00000010661","bta:509796"
"ENSBTAG00000011145","bta:327704"
"ENSBTAG00000007570","bta:523017"
"ENSBTAG00000015460","bta:615335"
"ENSBTAG00000021215","bta:521780"
"ENSBTAG00000012715","bta:101902369"
"ENSBTAG00000038245","bta:782791"
"ENSBTAG00000021819","bta:282257"
"ENSBTAG00000054054","bta:523139"
"ENSBTAG00000017983","bta:616292"
"ENSBTAG00000001575","bta:100297344"
"ENSBTAG00000049870","bta:782865"
"ENSBTAG00000004635","bta:781865"
"ENSBTAG00000002997","bta:101909640"
"ENSBTAG00000004405","bta:536449"
"ENSBTAG00000030426","bta:100848575"
"ENSBTAG00000001618","bta:516866"
"ENSBTAG00000019939","bta:617113"
"ENSBTAG00000048043","bta:523680"
"ENSBTAG00000008321","bta:515933"
"ENSBTAG00000009611","bta:510395"
"ENSBTAG00000010799","bta:281341"
"ENSBTAG00000009334","bta:327714"
"ENSBTAG00000013371","bta:517231"
"ENSBTAG00000011976","bta:540149"
"ENSBTAG00000006587","bta:540823"
"ENSBTAG00000037921","bta:782899"
"ENSBTAG00000011765","bta:338472"
"ENSBTAG00000011586","bta:514807"
"ENSBTAG00000016695","bta:534070"
"ENSBTAG00000003779","bta:768236"
"ENSBTAG00000010542","bta:519030"
"ENSBTAG00000039517","bta:616631"
"ENSBTAG00000044071","bta:521257"
"ENSBTAG00000020250","bta:511439"
"ENSBTAG00000002489","bta:617486"
"ENSBTAG00000002151","bta:282591"
"ENSBTAG00000004787","bta:534297"
"ENSBTAG00000055158","bta:782667"
"ENSBTAG00000024555","bta:615715"
"ENSBTAG00000013592","bta:784893"
"ENSBTAG00000026191","bta:618954"
"ENSBTAG00000016647","bta:517144"
"ENSBTAG00000019404","bta:767864"
"ENSBTAG00000052072","bta:617397"
"ENSBTAG00000014248","bta:508556"
"ENSBTAG00000011023","bta:618567"
"ENSBTAG00000001077","bta:532690"
"ENSBTAG00000014536","bta:511375"
"ENSBTAG00000011064","bta:522614"
"ENSBTAG00000005112","bta:505660"
"ENSBTAG00000050659","bta:781828"
"ENSBTAG00000004906","bta:538436"
"ENSBTAG00000006474","bta:514039"
"ENSBTAG00000024849","bta:100138271"
"ENSBTAG00000019593","bta:511442"
"ENSBTAG00000004547","bta:281368"
"ENSBTAG00000002157","bta:521024"
"ENSBTAG00000049788","bta:505366"
"ENSBTAG00000010547","bta:515285"
"ENSBTAG00000016598","bta:537748"
"ENSBTAG00000046498","bta:100847692"
"ENSBTAG00000054973","bta:781509"
"ENSBTAG00000000857","bta:527884"
"ENSBTAG00000000097","bta:512180"
"ENSBTAG00000016541","bta:511504"
"ENSBTAG00000010552","bta:533993"
"ENSBTAG00000004643","bta:281577"
"ENSBTAG00000013426","bta:540253"
"ENSBTAG00000011589","bta:520428"
"ENSBTAG00000052112","bta:531816"
"ENSBTAG00000006916","bta:536067"
"ENSBTAG00000003349","bta:527239"
"ENSBTAG00000010551","bta:515161"
"ENSBTAG00000039129","bta:510798"
"ENSBTAG00000009552","bta:282641"
"ENSBTAG00000048389","bta:101907883"
"ENSBTAG00000046718","bta:100126817"
"ENSBTAG00000032538","bta:615508"
"ENSBTAG00000006143","bta:513105"
"ENSBTAG00000017091","bta:509620"
"ENSBTAG00000048140","bta:100300875"
"ENSBTAG00000046812","bta:784640"
"ENSBTAG00000013790","bta:523962"
"ENSBTAG00000006786","bta:505293"
"ENSBTAG00000004902","bta:100124522"
"ENSBTAG00000002742","bta:533115"
"ENSBTAG00000000945","bta:510329"
"ENSBTAG00000035705","bta:539344"
"ENSBTAG00000021899","bta:511665"
"ENSBTAG00000044092","bta:506290"
"ENSBTAG00000033502","bta:519985"
"ENSBTAG00000006086","bta:519276"
"ENSBTAG00000012878","bta:514945"
"ENSBTAG00000021742","bta:613546"
"ENSBTAG00000007606","bta:539950"
"ENSBTAG00000004256","bta:281365"
"ENSBTAG00000015909","bta:506787"
"ENSBTAG00000014546","bta:532865"
"ENSBTAG00000039533","bta:107131149"
"ENSBTAG00000007680","bta:782187"
"ENSBTAG00000015414","bta:281515"
"ENSBTAG00000055037","bta:506822"
"ENSBTAG00000046142","bta:505370"
"ENSBTAG00000015212","bta:282258"
"ENSBTAG00000010027","bta:505218"
"ENSBTAG00000048743","bta:524808"
"ENSBTAG00000014103","bta:512450"
"ENSBTAG00000010563","bta:540888"
"ENSBTAG00000009647","bta:507478"
"ENSBTAG00000000856","bta:512690"
"ENSBTAG00000000094","bta:505430"
"ENSBTAG00000010777","bta:515715"
"ENSBTAG00000044001","bta:524132"
"ENSBTAG00000035158","bta:789629"
"ENSBTAG00000015317","bta:517077"
"ENSBTAG00000007211","bta:539344"
"ENSBTAG00000019596","bta:516334"
"ENSBTAG00000018519","bta:539169"
"ENSBTAG00000031769","bta:787581"
"ENSBTAG00000031217","bta:515421"
"ENSBTAG00000051690","bta:781277"
"ENSBTAG00000021490","bta:508051"
"ENSBTAG00000049846","bta:100299465"
"ENSBTAG00000017495","bta:521903"
